Jun 11 08:43:29 10.89.0.114 <189>21: R2: *Jun 11 08:43:27.143: %OSPF-5-ADJCHG: Process 1, Nbr 10.0.0.1 on FastEthernet0/1 from LOADING to FULL, Loading Done
Jun 11 08:43:31 10.89.0.114 <189>22: R1: *Jun 11 08:43:26.507: %OSPF-5-ADJCHG: Process 1, Nbr 10.0.0.2 on FastEthernet0/1 from LOADING to FULL, Loading Done
Jun 11 08:44:17 10.89.0.114 <189>22: R2: *Jun 11 08:44:00.443: %OSPF-5-ADJCHG: Process 1, Nbr 10.0.0.20 on FastEthernet0/0 from LOADING to FULL, Loading Done
Jun 11 08:44:18 10.89.0.114 <189>23: R1: *Jun 11 08:43:58.895: %OSPF-5-ADJCHG: Process 1, Nbr 10.0.0.10 on FastEthernet0/0 from LOADING to FULL, Loading Done
Jun 11 08:44:23 10.89.0.114 <187>5: ESW13: *Mar  1 00:00:03.915: %LINK-3-UPDOWN: Interface FastEthernet1/2, changed state to down
Jun 11 08:44:23 10.89.0.114 <187>6: ESW13: *Mar  1 00:00:03.915: %LINK-3-UPDOWN: Interface FastEthernet1/3, changed state to down
Jun 11 08:44:23 10.89.0.114 <187>7: ESW13: *Mar  1 00:00:03.919: %LINK-3-UPDOWN: Interface FastEthernet1/4, changed state to down
Jun 11 08:44:23 10.89.0.114 <187>8: ESW13: *Mar  1 00:00:03.919: %LINK-3-UPDOWN: Interface FastEthernet1/5, changed state to down
Jun 11 08:44:23 10.89.0.114 <187>9: ESW13: *Mar  1 00:00:03.919: %LINK-3-UPDOWN: Interface FastEthernet1/6, changed state to down
Jun 11 08:44:23 10.89.0.114 <187>10: ESW13: *Mar  1 00:00:03.923: %LINK-3-UPDOWN: Interface FastEthernet1/7, changed state to down
Jun 11 08:44:23 10.89.0.114 <187>11: ESW13: *Mar  1 00:00:03.923: %LINK-3-UPDOWN: Interface FastEthernet1/8, changed state to down
Jun 11 08:44:23 10.89.0.114 <187>12: ESW13: *Mar  1 00:00:03.927: %LINK-3-UPDOWN: Interface FastEthernet1/9, changed state to down
Jun 11 08:44:23 10.89.0.114 <187>13: ESW13: *Mar  1 00:00:03.927: %LINK-3-UPDOWN: Interface FastEthernet1/10, changed state to down
Jun 11 08:44:23 10.89.0.114 <187>14: ESW13: *Mar  1 00:00:03.927: %LINK-3-UPDOWN: Interface FastEthernet1/11, changed state to down
Jun 11 08:44:23 10.89.0.114 <187>15: ESW13: *Mar  1 00:00:03.927: %LINK-3-UPDOWN: Interface FastEthernet1/12, changed state to down
Jun 11 08:44:23 10.89.0.114 <187>16: ESW13: *Mar  1 00:00:03.927: %LINK-3-UPDOWN: Interface FastEthernet1/13, changed state to down
Jun 11 08:44:23 10.89.0.114 <187>17: ESW13: *Mar  1 00:00:03.927: %LINK-3-UPDOWN: Interface FastEthernet1/14, changed state to down
Jun 11 08:44:23 10.89.0.114 <187>18: ESW13: *Mar  1 00:00:03.927: %LINK-3-UPDOWN: Interface FastEthernet1/15, changed state to down
Jun 11 08:44:23 10.89.0.114 <189>19: ESW13: *Mar  1 00:00:04.619: %SYS-5-CONFIG_I: Configured from memory by console
Jun 11 08:44:23 10.89.0.114 <189>20: ESW13: *Mar  1 00:00:04.943: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet0/0, changed state to down
Jun 11 08:44:23 10.89.0.114 <187>5: ESW11: *Mar  1 00:00:04.715: %LINK-3-UPDOWN: Interface FastEthernet1/2, changed state to down
Jun 11 08:44:23 10.89.0.114 <189>21: ESW13: *Mar  1 00:00:04.943: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet0/1, changed state to down
Jun 11 08:44:23 10.89.0.114 <189>22: ESW13: *Mar  1 00:00:04.963: %SYS-5-RESTART: System restarted --
Jun 11 08:44:23 10.89.0.114 <189>23: ESW13: Cisco IOS Software, 2600 Software (C2691-ENTSERVICESK9-M), Version 12.4(13b), RELEASE SOFTWARE (fc3)
Jun 11 08:44:23 10.89.0.114 <187>6: ESW11: *Mar  1 00:00:04.715: %LINK-3-UPDOWN: Interface FastEthernet1/3, changed state to down
Jun 11 08:44:23 10.89.0.114 <189>24: ESW13: Technical Support: http://www.cisco.com/techsupport
Jun 11 08:44:23 10.89.0.114 <187>7: ESW11: *Mar  1 00:00:04.719: %LINK-3-UPDOWN: Interface FastEthernet1/4, changed state to down
Jun 11 08:44:24 10.89.0.114 <189>25: ESW13: Copyright (c) 1986-2007 by Cisco Systems, Inc.
Jun 11 08:44:24 10.89.0.114 <187>8: ESW11: *Mar  1 00:00:04.719: %LINK-3-UPDOWN: Interface FastEthernet1/5, changed state to down
Jun 11 08:44:24 10.89.0.114 <189>26: ESW13: Compiled Tue 24-Apr-07 15:33 by prod_rel_team
Jun 11 08:44:24 10.89.0.114 <187>9: ESW11: *Mar  1 00:00:04.719: %LINK-3-UPDOWN: Interface FastEthernet1/6, changed state to down
Jun 11 08:44:24 10.89.0.114 <189>27: ESW13: *Mar  1 00:00:05.007: %SNMP-5-COLDSTART: SNMP agent on host ESW13 is undergoing a cold start
Jun 11 08:44:24 10.89.0.114 <187>10: ESW11: *Mar  1 00:00:04.719: %LINK-3-UPDOWN: Interface FastEthernet1/7, changed state to down
Jun 11 08:44:24 10.89.0.114 <189>28: ESW13: *Mar  1 00:00:05.027: %PCMCIAFS-5-DIBERR: PCMCIA disk 0 is formatted from a different router or PC. A format in this router is required before an image can be booted from this device
Jun 11 08:44:24 10.89.0.114 <187>11: ESW11: *Mar  1 00:00:04.719: %LINK-3-UPDOWN: Interface FastEthernet1/8, changed state to down
Jun 11 08:44:24 10.89.0.114 <189>29: ESW13: *Mar  1 00:00:05.039: %SSH-5-ENABLED: SSH 2.0 has been enabled
Jun 11 08:44:24 10.89.0.114 <187>12: ESW11: *Mar  1 00:00:04.719: %LINK-3-UPDOWN: Interface FastEthernet1/9, changed state to down
Jun 11 08:44:24 10.89.0.114 <189>30: ESW13: *Mar  1 00:00:05.271: %DTP-5-TRUNKPORTON: Port Fa1/0-1 has become dot1q trunk
Jun 11 08:44:24 10.89.0.114 <187>13: ESW11: *Mar  1 00:00:04.719: %LINK-3-UPDOWN: Interface FastEthernet1/10, changed state to down
Jun 11 08:44:24 10.89.0.114 <189>32: ESW13: *Mar  1 00:00:05.659: %LINEPROTO-5-UPDOWN: Line protocol on Interface Vlan99, changed state to up
Jun 11 08:44:24 10.89.0.114 <187>15: ESW11: *Mar  1 00:00:04.719: %LINK-3-UPDOWN: Interface FastEthernet1/12, changed state to down
Jun 11 08:44:24 10.89.0.114 <189>33: ESW13: *Mar  1 00:00:05.691: %LINK-5-CHANGED: Interface Vlan1, changed state to administratively down
Jun 11 08:44:24 10.89.0.114 <187>16: ESW11: *Mar  1 00:00:04.719: %LINK-3-UPDOWN: Interface FastEthernet1/13, changed state to down
Jun 11 08:44:24 10.89.0.114 <187>34: ESW13: *Mar  1 00:00:06.623: %LINK-3-UPDOWN: Interface FastEthernet1/15, changed state to up
Jun 11 08:44:24 10.89.0.114 <187>17: ESW11: *Mar  1 00:00:04.719: %LINK-3-UPDOWN: Interface FastEthernet1/14, changed state to down
Jun 11 08:44:24 10.89.0.114 <187>35: ESW13: *Mar  1 00:00:06.691: %LINK-3-UPDOWN: Interface FastEthernet1/14, changed state to up
Jun 11 08:44:24 10.89.0.114 <187>18: ESW11: *Mar  1 00:00:04.719: %LINK-3-UPDOWN: Interface FastEthernet1/15, changed state to down
Jun 11 08:44:24 10.89.0.114 <187>36: ESW13: *Mar  1 00:00:06.695: %LINK-3-UPDOWN: Interface FastEthernet1/13, changed state to up
Jun 11 08:44:24 10.89.0.114 <189>19: ESW11: *Mar  1 00:00:05.019: %SYS-5-CONFIG_I: Configured from memory by console
